Black Panther,BV,693126615,2/16
Avengers: Infinity War,BV,450806540,4/27
A Quiet Place,Par.,159894386,4/6
Ready Player One,WB,133054504,3/29
Peter Rabbit,Sony,114625343,2/9
Fifty Shades Freed,Uni.,100407760,2/9
A Wrinkle in Time,BV,95472581,3/9
Rampage (2018),WB (NL),84793100,4/13
I Can Only Imagine,RAtt.,81904417,3/16
Game Night,WB (NL),68477777,2/23
Insidious: The Last Key,Uni.,67347895,1/5
Pacific Rim Uprising,Uni.,58984735,3/23
Maze Runner: The Death Cure,Fox,58032443,1/26
Tomb Raider,WB,56935511,3/16
Blockers,Uni.,56166500,4/6
Red Sparrow,Fox,46739507,3/2
12 Strong,WB,45500164,1/19
Den of Thieves,STX,44947622,1/19
Tyler Perry's Acrimony,LGF,42878291,3/30
Sherlock Gnomes,Par.,41179888,3/23
"Love, Simon",Fox,40548616,3/16
Paddington 2,WB,40442052,1/12
Truth or Dare,Uni.,38236360,4/13
I Feel Pretty,STX,37798283,4/20
The Commuter,LGF,36343858,1/12
The 15:17 to Paris,WB,36250957,2/9
Death Wish (2018),MGM,33928715,3/2
Annihilation,Par.,32732301,2/23
Isle Of Dogs,FoxS,28453046,3/23
Super Troopers 2,Fox,25445701,4/20
Winchester,LGF,25091816,2/2
Strangers: Prey at Night,Aviron,24384251,3/9
Proud Mary,SGem,20877013,1/12
"Paul, Apostle of Christ",Sony,17276253,3/23
Chappaquiddick,ENTMP,16502389,4/6
Forever My Girl,RAtt.,16374168,1/19
Overboard (2018),PNT,14750000,5/4
Padmaavat,VPD,11846060,1/25
The Miracle Season,Mirr/LD,9718647,4/6
Midnight Sun,Global Road,9554660,3/23
Early Man,LGF,8267544,2/16
Traffik,LGF,8214560,4/20
Unsane,BST,7732899,3/23
The Death of Stalin,IFC,7490528,3/9
The Hurricane Heist,ENTMP,6114066,3/9
Every Day (2018),Orion,6102076,2/23
God's Not Dead: A Light in Darkness,PFR,5620011,3/30
Gringo,STX,4969853,3/9
Beirut,BST,4748735,4/11
Samson,PFR,4719928,2/16
The Oscar Nominated Short Films 2018,Shrts.,3508777,2/9
7 Days in Entebbe,Focus,3207137,3/16
Tully (2018),Focus,3186000,5/4
Thoroughbreds,Focus,2830775,3/9
La Boda de Valentina,PNT,2783739,2/9
Bharat Ane Nenu,GrtIndia,2663090,4/20
Sgt. Stubby: An American Hero,FunAcad,2631294,4/13
Mary and the Witch's Flower,GK,2418404,1/18
A Fantastic Woman,SPC,2004853,2/2
Met Opera: Tosca,Fathom,2000000,1/27
You Were Never Really Here,Amazon,1984950,4/6
Detective Chinatown 2,WB,1983984,2/16
Met Opera: La Bohème (2018),Fathom,1875000,2/24
Bad Samaritan,Electric,1758000,5/4
Pad Man,Sony,1670192,2/9
Operation Red Sea,WGUSA,1543547,2/23
Baaghi 2,FIP,1319579,3/30
Met Opera: Cendrillon,Fathom,1300000,4/28
Finding Your Feet,RAtt.,1265747,3/30
Met Opera: Semiramide,Fathom,1200000,3/10
Met Opera: L'Elisir d'Amore (2018),Fathom,1170000,2/10
Labyrinth (2018 Fathom Event),Fathom,1028445,4/29
Raid (2018),Eros,1010385,3/16
The Insult,Cohen,1001305,1/12
Lean on Pete,A24,906050,4/6
Pandas,WB,870987,4/6
Like Arrows,Fathom,843885,5/1
Kirk Cameron: Connect,Fathom,836020,2/27
The Dark Crystal (special re-release),Fathom,780491,2/25
The Party (2017),RAtt.,747646,2/16
Monster Hunt 2,LGF,706153,2/16
Disobedience,BST,638645,4/27
Foxtrot,SPC,580672,3/2
The Rider,SPC,567272,4/13
Loveless (2018),SPC,562147,2/16
RBG,Magn.,560000,5/4
Bilal: A New Breed of Hero,VE,490973,2/2
102 Not Out,Sony,480000,5/4
Condorito: La Pelicula,LGF,447719,1/12
Itzhak,Greenwich,433915,3/9
Final Portrait,SPC,398332,3/23
Leaning Into The Wind,Magn.,362777,3/9
Oh Lucy!,FM,338402,3/2
Hichki,Yash,330279,3/23
Flower,Orch.,327628,3/16
But Deliver Us from Evil,Indic.,281135,2/9
Kings (2018),Orch.,258211,4/27
Borg vs. McEnroe,Neon,218757,4/13
Grace Jones: Bloodlight and Bami,KL,217325,4/13
Back to Burgundy,MBox,208416,3/23
